#T(both) R(#1)   S(#1)   K(#1)  R(#2)  S(#2)    K(#2)
735.0000 26.8391 -213.0954 1.1746 29.9331 269.3872 1.0258
740.0000 27.3393 -213.8016 1.1705 30.2228 269.2907 1.0234
745.0000 27.8453 -214.4590 1.1669 30.5159 269.1114 1.0209
750.0000 28.3570 -215.0664 1.1641 30.8125 268.8854 1.0186
755.0000 28.8745 -215.6222 1.1619 31.1129 268.6451 1.0165
760.0000 29.3977 -216.1249 1.1604 31.4182 268.4082 1.0147
765.0000 29.9267 -216.5729 1.1596 31.7297 268.1891 1.0132
770.0000 30.4614 -216.9648 1.1596 32.0487 268.0021 1.0119
775.0000 31.0019 -217.2988 1.1605 32.3769 267.8615 1.0108
780.0000 31.5482 -217.5735 1.1622 32.7158 267.7815 1.0099
785.0000 32.1003 -217.7872 1.1648 33.0671 267.7765 1.0092
790.0000 32.6583 -217.9385 1.1683 33.4329 267.8609 1.0088
795.0000 33.2223 -218.0257 1.1728 33.8151 268.0487 1.0085
800.0000 33.7924 -218.0473 1.1783 34.2159 268.3545 1.0084
